model,term,Estimate,Std. Error,z value,Pr(>|z|),vcov,t value,Pr(>|t|)
ppml_rings,mhw_days,-0.0025687035153927,0.00313546491833246,-0.819241669831478,0.412648544907326,conley_200km,,
ppml_rings,mhw_nb_k1,-0.0147543982634261,0.00964888704296939,-1.52912954600052,0.126232332068674,conley_200km,,
ppml_rings,mhw_nb_mid,0.0147053856102596,0.00752942914368243,1.95305451842895,0.0508131354473824,conley_200km,,
ppml_rings,mhw_nb_far,-0.0121933189952724,0.00978266796494573,-1.24642061234877,0.212610017789985,conley_200km,,
ppml_rings,sst_anom,0.136452789875483,0.0400823755575356,3.40430895069116,0.000663316829614196,conley_200km,,
ext_rings,mhw_days,0.000246612535979283,0.000155759908084532,,,conley_200km,1.58328634763603,0.113356677440874
ext_rings,mhw_nb_k1,-0.000191137516293193,0.000301093910769377,,,conley_200km,-0.634810301559352,0.525552356996461
ext_rings,mhw_nb_mid,0.000983988584344966,0.000629599404681359,,,conley_200km,1.56288042369253,0.118081187544135
ext_rings,mhw_nb_far,-0.00256317409361467,0.000907219174367823,,,conley_200km,-2.8253085539123,0.00472364787259532
ext_rings,sst_anom,0.00440148510378934,0.00590733000153618,,,conley_200km,0.745088746124688,0.456218329017173
